"no","product","pack","weight_mc","gross_weight","total_ctn","net_weight_kg","gross_weight_kg","total_rw_price","finished_goods","pack_cost","unit_price","total_amount","remark"
"1","TILAPIA/CLN - 500-600  G./PCS.","IWP 10 KG./CTN WITH STICKER","10","10.5","400","4000","4010.5","0","0","0","0","0","GL.20%"
"2","TILAPIA/CLN - 400-500  G./PCS.","IWP 10 KG./CTN WITH STICKER","10","10.5","600","6000","6010.5","0","0","0","0","0","GL.20%"
"3","ROHU/CLN/BLK ","800 G. X 12 BLK/CTN WITH STICKER","9.6","19.2","200","1920","1939.2","0","0","0","0","0",""
"4","ROHU/H-O/STEAK-NO SCALE - 1  KG.UP","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","1000","10000","10010.5","0","0","0","0","0","GL.20%"
"5","PANGASH/H-L/BLK ","800 G. X 12 BLK/CTN WITH PRINT BAG","9.6","19.2","200","1920","1939.2","0","0","0","0","0",""
