no,product,pack,weight_mc,gross_weight,total_ctn,net_weight_kg,gross_weight_kg,total_rw_price,finished_goods,pack_cost,unit_price,total_amount,remark
1,ROHU/G - 1.5  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,150,3000,3020.5,0,0,0,0,0,GL.5%
2,ROHU/G - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,250,3000,3020.5,0,0,0,0,0,GL.5%
3,ROHU/H-O/STEAK-NO SCALE - 600-800  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,1600,12800,12808.5,0,0,0,0,0,GL.25%
4,ROHU/G - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,3,6000,6020.5,0,0,0,0,0,GL.5%
