no,product,pack,weight_mc,gross_weight,total_ctn,net_weight_kg,gross_weight_kg,total_rw_price,finished_goods,pack_cost,unit_price,total_amount,remark
1,RED CHILLI - 500  G.,500 G. X 22 BAG/CTN PLAN BAG,11,11.5,50,550,561.5,0,0,0,0,0,Organic
2,TAMARIND ,BULK 24 KG./CTN (120X200 G.),24,24.5,150,3600,3624.5,0,0,0,0,0,
3,DRY PANGASH ,500 G. X 10 BAG/CTN WITH STICKER,5,5.5,300,1500,1505.5,0,0,0,0,0,
4,KORAL/CLN/BLK ,800 G. X 12 BLK/CTN WITH STICKER,9.6,19.2,150,2400,2419.2,0,0,0,0,0,
5,DRY KESKI ,200 G. X 25 BAG/CTN WITH STICKER,5,6,300,1500,1506,0,0,0,0,0,103&21-04-2025
6,RED CHILLI - 500  G.,500 G. X 22 BAG/CTN WITH PRINT BAG,11,11.5,12,6050,6061.5,0,0,0,0,0,
